name_simplif,tolerance,num_vertices_ORI,num_vertices_simpl,totalAreakm2_ori,totalAreakm2_simpl,perimKm_ori,perimKm_simpl,vert_to_areakm2_ori,vert_to_areakm2_simpl,perimeter_to_areakm2_ori,perimeter_to_areakm2_simpl,perc_agreement
D:/Blanca/TEMPORAL/s20221109/R8_Simply_comb20152020_T0.5,0.5,568782,239041,20885.36575895486,20885.306001050933,3953.2180403724765,3949.659405118482,27.233518750138607,11.445415259320196,0.18928172415067643,0.1891118763076652,99.99814171538229
D:/Blanca/TEMPORAL/s20221109/R8_Simply_comb20152020_T1,1,568782,171020,20885.36575895486,20885.25812982455,3953.2180403724765,3945.175341184091,27.233518750138607,8.188550935637236,0.18928172415067643,0.1888976098193541,99.9959246128088
D:/Blanca/TEMPORAL/s20221109/R8_Simply_comb20152020_T1.5,1.5,568782,137716,20885.36575895486,20885.213978489086,3953.2180403724765,3940.2824860761098,27.233518750138607,6.593947284516301,0.18928172415067643,0.18866373550850085,99.993591648296
D:/Blanca/TEMPORAL/s20221109/R8_Simply_comb20152020_T2,2,568782,116937,20885.36575895486,20885.165152983038,3953.2180403724765,3935.2660848349933,27.233518750138607,5.599045980409584,0.18928172415067643,0.18842398688300138,99.99121637862213
D:/Blanca/TEMPORAL/s20221109/R8_Simply_comb20152020_T2.5,2.5,568782,102439,20885.36575895486,20885.1303542967,3953.2180403724765,3930.1276685293,27.233518750138607,4.904877214660296,0.18928172415067643,0.18817826855079955,99.98887065507668
